id,amenities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2318,"""Free parking on premises"""," ""Coffee maker"""," ""Essentials"""," ""Pack \u2019n Play/travel crib"""," ""Shampoo"""," ""Dedicated workspace"""," ""Backyard"""," ""Wifi"""," ""First aid kit"""," ""Hair dryer"""," ""Cooking basics"""," ""Luggage dropoff allowed"""," ""Dishwasher"""," ""Children\u2019s books and toys"""," ""Iron"""," ""Refrigerator"""," ""Long term stays allowed"""," ""Carbon monoxide alarm"""," ""Microwave"""," ""Kitchen"""," ""Hangers"""," ""Dryer"""," ""Stove"""," ""High chair"""," ""Lake access"""," ""Oven"""," ""Fire extinguisher"""," ""Washer"""," ""Free street parking"""," ""Dishes and silverware"""," ""Heating"""," ""Hot water"""," ""Smoke alarm"""," ""Patio or balcony"""," ""Host greets you"""," ""Indoor fireplace""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6606,"""Free parking on premises"""," ""Coffee maker"""," ""Essentials"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Dedicated workspace"""," ""Wifi"""," ""Bed linens"""," ""Hair dryer"""," ""Cooking basics"""," ""TV"""," ""Iron"""," ""Long term stays allowed"""," ""Carbon monoxide alarm"""," ""Air conditioning"""," ""Microwave"""," ""Kitchen"""," ""Hangers"""," ""Fire extinguisher"""," ""Private entrance"""," ""Dishes and silverware"""," ""Heating"""," ""Hot water"""," ""Smoke alarm""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9419,"""Free parking on premises"""," ""Coffee maker"""," ""Essentials"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Dedicated workspace"""," ""Lock on bedroom door"""," ""Wifi"""," ""Bed linens"""," ""First aid kit"""," ""Hair dryer"""," ""Cooking basics"""," ""Iron"""," ""Refrigerator"""," ""Long term stays allowed"""," ""Carbon monoxide alarm"""," ""Air conditioning"""," ""Microwave"""," ""Kitchen"""," ""Security cameras on property"""," ""Hangers"""," ""Dryer"""," ""Stove"""," ""Oven"""," ""Fire extinguisher"""," ""Washer"""," ""Free street parking"""," ""Dishes and silverware"""," ""Heating"""," ""Hot water"""," ""Smoke alarm"""," ""Patio or balcony"""," ""Host greets you""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531,"""Free parking on premises"""," ""Coffee maker"""," ""Essentials"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Baking sheet"""," ""Dedicated workspace"""," ""Ethernet connection"""," ""TV with standard cable"""," ""Backyard"""," ""Wifi"""," ""Bed linens"""," ""First aid kit"""," ""Hair dryer"""," ""Cooking basics"""," ""Luggage dropoff allowed"""," ""Dishwasher"""," ""Iron"""," ""Refrigerator"""," ""BBQ grill"""," ""Long term stays allowed"""," ""Carbon monoxide alarm"""," ""Cable TV"""," ""Barbecue utensils"""," ""Microwave"""," ""Kitchen"""," ""Single level home"""," ""Shower gel"""," ""Dryer"""," ""Hangers"""," ""Stove"""," ""Oven"""," ""Fire extinguisher"""," ""Private entrance"""," ""Washer"""," ""Free street parking"""," ""Dishes and silverware"""," ""Heating"""," ""Hot water"""," ""Smoke alarm"""," ""Patio or balcony"""," ""Indoor fireplace""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9534,"""Free parking on premises"""," ""Coffee maker"""," ""Essentials"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Baking sheet"""," ""Dedicated workspace"""," ""Ethernet connection"""," ""Conditioner"""," ""TV with standard cable"""," ""Backyard"""," ""Wifi"""," ""Bed linens"""," ""First aid kit"""," ""Hair dryer"""," ""Pour-over coffee"""," ""Cooking basics"""," ""Luggage dropoff allowed"""," ""Portable fans"""," ""Iron"""," ""Refrigerator"""," ""BBQ grill"""," ""Long term stays allowed"""," ""Carbon monoxide alarm"""," ""Cable TV"""," ""Barbecue utensils"""," ""Microwave"""," ""Kitchen"""," ""Single level home"""," ""Shower gel"""," ""Dryer"""," ""Hangers"""," ""Stove"""," ""Oven"""," ""Fire extinguisher"""," ""Private entrance"""," ""Washer"""," ""Free street parking"""," ""Dishes and silverware"""," ""Heating"""," ""Hot water"""," ""Smoke alarm"""," ""Body soap"""," ""Patio or balcony"""," ""Freezer"""," ""Indoor fireplace""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9909,"""Free parking on premises"""," ""Dryer \u2013 In building"""," ""Coffee maker"""," ""Essentials"""," ""Extra pillows and blankets"""," ""Pack \u2019n Play/travel crib"""," ""Baking sheet"""," ""TV with standard cable"""," ""Backyard"""," ""Wifi"""," ""Bed linens"""," ""First aid kit"""," ""Bathtub"""," ""Hair dryer"""," ""Cooking basics"""," ""Electric stove"""," ""Portable fans"""," ""Children\u2019s books and toys"""," ""Iron"""," ""Lockbox"""," ""Refrigerator"""," ""BBQ grill"""," ""Long term stays allowed"""," ""Carbon monoxide alarm"""," ""Cable TV"""," ""Barbecue utensils"""," ""Laundromat nearby"""," ""Microwave"""," ""Children\u2019s dinnerware"""," ""Kitchen"""," ""Hangers"""," ""High chair"""," ""Oven"""," ""Fire extinguisher"""," ""Private entrance"""," ""Free street parking"""," ""Dishes and silverware"""," ""Heating"""," ""Hot water"""," ""Smoke alarm"""," ""Washer \u2013\u00a0In building"""," ""Freezer""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10209,"""Free parking on premises"""," ""Wifi"""," ""Long term stays allowed"""," ""Essentials"""," ""Cable TV"""," ""Lock on bedroom door"""," ""Washer"""," ""Kitchen"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Shampoo"""," ""Hot water"""," ""Smoke alarm"""," ""Free street parking"""," ""Dedicated workspace"""," ""Lockbox"""," ""Hangers"""," ""Dryer"""," ""Iron"""," ""TV with standard cable""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17229,"""Wifi"""," ""Long term stays allowed"""," ""Cable TV"""," ""Washer"""," ""Kitchen"""," ""Heating"""," ""Lockbox"""," ""Smoke alarm"""," ""Dryer"""," ""Indoor fireplace"""," ""TV with standard cable""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25002,"""Free parking on premises"""," ""Coffee maker"""," ""Essentials"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Dedicated workspace"""," ""Smart lock"""," ""TV with standard cable"""," ""Backyard"""," ""Wifi"""," ""Bed linens"""," ""Bathtub"""," ""Hair dryer"""," ""Luggage dropoff allowed"""," ""Iron"""," ""Refrigerator"""," ""Long term stays allowed"""," ""Carbon monoxide alarm"""," ""Cable TV"""," ""Microwave"""," ""Hangers"""," ""Dryer"""," ""Fire extinguisher"""," ""Private entrance"""," ""Washer"""," ""Free street parking"""," ""Dishes and silverware"""," ""Heating"""," ""Hot water"""," ""Smoke alarm"""," ""Patio or balcony""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30712,"""Essentials"""," ""Extra pillows and blankets"""," ""Pack \u2019n Play/travel crib"""," ""Shampoo"""," ""Dedicated workspace"""," ""Wifi"""," ""Bed linens"""," ""Hair dryer"""," ""Cooking basics"""," ""Luggage dropoff allowed"""," ""Children\u2019s books and toys"""," ""Iron"""," ""Long term stays allowed"""," ""Carbon monoxide alarm"""," ""Kitchen"""," ""Hangers"""," ""Private entrance"""," ""Free street parking"""," ""Heating"""," ""Hot water"""," ""Smoke alarm"""," ""Host greets you""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41401,"""Free parking on premises"""," ""Wifi"""," ""Long term stays allowed"""," ""Cable TV"""," ""Washer"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Smoke alarm"""," ""Dedicated workspace"""," ""Hangers"""," ""Dryer"""," ""Iron"""," ""TV with standard cable""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
