listing_id,amenity_id,amenity_type
2318,2,Free parking on premises
2318,3,Coffee maker
2318,4,Essentials
2318,5,Pack \u2019n Play/travel crib
2318,6,Shampoo
2318,7,Dedicated workspace
2318,8,Backyard
2318,9,Wifi
2318,10,First aid kit
2318,11,Hair dryer
2318,12,Cooking basics
2318,13,Luggage dropoff allowed
2318,14,Dishwasher
2318,15,Children\u2019s books and toys
2318,16,Iron
2318,17,Refrigerator
2318,18,Long term stays allowed
2318,19,Carbon monoxide alarm
2318,20,Microwave
2318,21,Kitchen
2318,22,Hangers
2318,23,Dryer
2318,24,Stove
2318,25,High chair
2318,26,Lake access
2318,27,Oven
2318,28,Fire extinguisher
2318,29,Washer
2318,30,Free street parking
2318,31,Dishes and silverware
2318,32,Heating
2318,33,Hot water
2318,34,Smoke alarm
2318,35,Patio or balcony
2318,36,Host greets you
2318,37,Indoor fireplace
6606,2,Free parking on premises
6606,3,Coffee maker
6606,4,Essentials
6606,38,Extra pillows and blankets
6606,6,Shampoo
6606,7,Dedicated workspace
6606,9,Wifi
6606,39,Bed linens
6606,11,Hair dryer
6606,12,Cooking basics
6606,40,TV
6606,16,Iron
6606,18,Long term stays allowed
6606,19,Carbon monoxide alarm
6606,41,Air conditioning
6606,20,Microwave
6606,21,Kitchen
6606,22,Hangers
6606,28,Fire extinguisher
6606,42,Private entrance
6606,31,Dishes and silverware
6606,32,Heating
6606,33,Hot water
6606,34,Smoke alarm
9419,2,Free parking on premises
9419,3,Coffee maker
9419,4,Essentials
9419,38,Extra pillows and blankets
9419,6,Shampoo
9419,7,Dedicated workspace
9419,43,Lock on bedroom door
9419,9,Wifi
9419,39,Bed linens
9419,10,First aid kit
9419,11,Hair dryer
9419,12,Cooking basics
9419,16,Iron
9419,17,Refrigerator
9419,18,Long term stays allowed
9419,19,Carbon monoxide alarm
9419,41,Air conditioning
9419,20,Microwave
9419,21,Kitchen
9419,44,Security cameras on property
9419,22,Hangers
9419,23,Dryer
9419,24,Stove
9419,27,Oven
9419,28,Fire extinguisher
9419,29,Washer
9419,30,Free street parking
9419,31,Dishes and silverware
9419,32,Heating
9419,33,Hot water
9419,34,Smoke alarm
9419,35,Patio or balcony
9419,36,Host greets you
9531,2,Free parking on premises
9531,3,Coffee maker
9531,4,Essentials
9531,38,Extra pillows and blankets
9531,6,Shampoo
9531,45,Baking sheet
9531,7,Dedicated workspace
9531,46,Ethernet connection
9531,47,TV with standard cable
9531,8,Backyard
9531,9,Wifi
9531,39,Bed linens
9531,10,First aid kit
9531,11,Hair dryer
9531,12,Cooking basics
9531,13,Luggage dropoff allowed
9531,14,Dishwasher
9531,16,Iron
9531,17,Refrigerator
9531,48,BBQ grill
9531,18,Long term stays allowed
9531,19,Carbon monoxide alarm
9531,49,Cable TV
9531,50,Barbecue utensils
9531,20,Microwave
9531,21,Kitchen
9531,51,Single level home
9531,52,Shower gel
9531,23,Dryer
9531,22,Hangers
9531,24,Stove
9531,27,Oven
9531,28,Fire extinguisher
9531,42,Private entrance
9531,29,Washer
9531,30,Free street parking
9531,31,Dishes and silverware
9531,32,Heating
9531,33,Hot water
9531,34,Smoke alarm
9531,35,Patio or balcony
9531,37,Indoor fireplace
9534,2,Free parking on premises
9534,3,Coffee maker
9534,4,Essentials
9534,38,Extra pillows and blankets
9534,6,Shampoo
9534,45,Baking sheet
9534,7,Dedicated workspace
9534,46,Ethernet connection
9534,53,Conditioner
9534,47,TV with standard cable
9534,8,Backyard
9534,9,Wifi
9534,39,Bed linens
9534,10,First aid kit
9534,11,Hair dryer
9534,54,Pour-over coffee
9534,12,Cooking basics
9534,13,Luggage dropoff allowed
9534,55,Portable fans
9534,16,Iron
9534,17,Refrigerator
9534,48,BBQ grill
9534,18,Long term stays allowed
9534,19,Carbon monoxide alarm
9534,49,Cable TV
9534,50,Barbecue utensils
9534,20,Microwave
9534,21,Kitchen
9534,51,Single level home
9534,52,Shower gel
9534,23,Dryer
9534,22,Hangers
9534,24,Stove
9534,27,Oven
9534,28,Fire extinguisher
9534,42,Private entrance
9534,29,Washer
9534,30,Free street parking
9534,31,Dishes and silverware
9534,32,Heating
9534,33,Hot water
9534,34,Smoke alarm
9534,56,Body soap
9534,35,Patio or balcony
9534,57,Freezer
9534,37,Indoor fireplace
9909,2,Free parking on premises
9909,58,Dryer \u2013 In building
9909,3,Coffee maker
9909,4,Essentials
9909,38,Extra pillows and blankets
9909,5,Pack \u2019n Play/travel crib
9909,45,Baking sheet
9909,47,TV with standard cable
9909,8,Backyard
9909,9,Wifi
9909,39,Bed linens
9909,10,First aid kit
9909,59,Bathtub
9909,11,Hair dryer
9909,12,Cooking basics
9909,60,Electric stove
9909,55,Portable fans
9909,15,Children\u2019s books and toys
9909,16,Iron
9909,61,Lockbox
9909,17,Refrigerator
9909,48,BBQ grill
9909,18,Long term stays allowed
9909,19,Carbon monoxide alarm
9909,49,Cable TV
9909,50,Barbecue utensils
9909,62,Laundromat nearby
9909,20,Microwave
9909,63,Children\u2019s dinnerware
9909,21,Kitchen
9909,22,Hangers
9909,25,High chair
9909,27,Oven
9909,28,Fire extinguisher
9909,42,Private entrance
9909,30,Free street parking
9909,31,Dishes and silverware
9909,32,Heating
9909,33,Hot water
9909,34,Smoke alarm
9909,64,Washer \u2013\u00a0In building
9909,57,Freezer
10209,2,Free parking on premises
10209,9,Wifi
10209,18,Long term stays allowed
10209,4,Essentials
10209,49,Cable TV
10209,43,Lock on bedroom door
10209,29,Washer
10209,21,Kitchen
10209,31,Dishes and silverware
10209,12,Cooking basics
10209,6,Shampoo
10209,33,Hot water
10209,34,Smoke alarm
10209,30,Free street parking
10209,7,Dedicated workspace
10209,61,Lockbox
10209,22,Hangers
10209,23,Dryer
10209,16,Iron
10209,47,TV with standard cable
17229,9,Wifi
17229,18,Long term stays allowed
17229,49,Cable TV
17229,29,Washer
17229,21,Kitchen
17229,32,Heating
17229,61,Lockbox
17229,34,Smoke alarm
17229,23,Dryer
17229,37,Indoor fireplace
17229,47,TV with standard cable
25002,2,Free parking on premises
25002,3,Coffee maker
25002,4,Essentials
25002,38,Extra pillows and blankets
25002,6,Shampoo
25002,7,Dedicated workspace
25002,65,Smart lock
25002,47,TV with standard cable
25002,8,Backyard
25002,9,Wifi
25002,39,Bed linens
25002,59,Bathtub
25002,11,Hair dryer
25002,13,Luggage dropoff allowed
25002,16,Iron
25002,17,Refrigerator
25002,18,Long term stays allowed
25002,19,Carbon monoxide alarm
25002,49,Cable TV
25002,20,Microwave
25002,22,Hangers
25002,23,Dryer
25002,28,Fire extinguisher
25002,42,Private entrance
25002,29,Washer
25002,30,Free street parking
25002,31,Dishes and silverware
25002,32,Heating
25002,33,Hot water
25002,34,Smoke alarm
25002,35,Patio or balcony
30712,4,Essentials
30712,38,Extra pillows and blankets
30712,5,Pack \u2019n Play/travel crib
30712,6,Shampoo
30712,7,Dedicated workspace
30712,9,Wifi
30712,39,Bed linens
30712,11,Hair dryer
30712,12,Cooking basics
30712,13,Luggage dropoff allowed
30712,15,Children\u2019s books and toys
30712,16,Iron
30712,18,Long term stays allowed
30712,19,Carbon monoxide alarm
30712,21,Kitchen
30712,22,Hangers
30712,42,Private entrance
30712,30,Free street parking
30712,32,Heating
30712,33,Hot water
30712,34,Smoke alarm
30712,36,Host greets you
41401,2,Free parking on premises
41401,9,Wifi
41401,18,Long term stays allowed
41401,49,Cable TV
41401,29,Washer
41401,11,Hair dryer
41401,21,Kitchen
41401,32,Heating
41401,34,Smoke alarm
41401,7,Dedicated workspace
41401,22,Hangers
41401,23,Dryer
41401,16,Iron
41401,47,TV with standard cable
68508,2,Free parking on premises
68508,3,Coffee maker
68508,4,Essentials
68508,38,Extra pillows and blankets
68508,6,Shampoo
68508,7,Dedicated workspace
68508,46,Ethernet connection
68508,47,TV with standard cable
68508,8,Backyard
68508,9,Wifi
68508,39,Bed linens
68508,11,Hair dryer
68508,12,Cooking basics
68508,13,Luggage dropoff allowed
68508,14,Dishwasher
68508,66,Outdoor furniture
68508,67,Pocket wifi
68508,16,Iron
68508,61,Lockbox
68508,17,Refrigerator
68508,48,BBQ grill
68508,18,Long term stays allowed
68508,19,Carbon monoxide alarm
68508,49,Cable TV
68508,41,Air conditioning
68508,20,Microwave
68508,21,Kitchen
68508,22,Hangers
68508,23,Dryer
68508,24,Stove
68508,26,Lake access
68508,27,Oven
68508,28,Fire extinguisher
68508,42,Private entrance
68508,29,Washer
68508,30,Free street parking
68508,31,Dishes and silverware
68508,32,Heating
68508,33,Hot water
68508,34,Smoke alarm
68508,35,Patio or balcony
68508,37,Indoor fireplace
116221,2,Free parking on premises
116221,3,Coffee maker
116221,4,Essentials
116221,38,Extra pillows and blankets
116221,6,Shampoo
116221,45,Baking sheet
116221,68,Central heating
116221,46,Ethernet connection
116221,9,Wifi
116221,39,Bed linens
116221,10,First aid kit
116221,59,Bathtub
116221,11,Hair dryer
116221,12,Cooking basics
116221,14,Dishwasher
116221,55,Portable fans
116221,16,Iron
116221,69,Free washer \u2013 In unit
116221,70,Wine glasses
116221,71,LG refrigerator
116221,18,Long term stays allowed
116221,19,Carbon monoxide alarm
116221,20,Microwave
116221,21,Kitchen
116221,72,Drying rack for clothing
116221,73,Dining table
116221,22,Hangers
116221,24,Stove
116221,74,Toaster
116221,27,Oven
116221,75,Radiant heating
116221,28,Fire extinguisher
116221,76,Cleaning products
116221,30,Free street parking
116221,31,Dishes and silverware
116221,33,Hot water
116221,34,Smoke alarm
116221,35,Patio or balcony
116221,77,Free dryer \u2013 In unit
116221,36,Host greets you
117165,2,Free parking on premises
117165,3,Coffee maker
117165,4,Essentials
117165,38,Extra pillows and blankets
117165,6,Shampoo
117165,46,Ethernet connection
117165,9,Wifi
117165,39,Bed linens
117165,10,First aid kit
117165,11,Hair dryer
117165,12,Cooking basics
117165,14,Dishwasher
117165,40,TV
117165,16,Iron
117165,17,Refrigerator
117165,18,Long term stays allowed
117165,19,Carbon monoxide alarm
117165,41,Air conditioning
117165,20,Microwave
117165,21,Kitchen
117165,22,Hangers
117165,23,Dryer
117165,24,Stove
117165,27,Oven
117165,28,Fire extinguisher
117165,29,Washer
117165,31,Dishes and silverware
117165,32,Heating
117165,33,Hot water
117165,34,Smoke alarm
117165,35,Patio or balcony
117165,37,Indoor fireplace
119103,4,Essentials
119103,38,Extra pillows and blankets
119103,7,Dedicated workspace
119103,8,Backyard
119103,9,Wifi
119103,39,Bed linens
119103,10,First aid kit
119103,11,Hair dryer
119103,16,Iron
119103,17,Refrigerator
119103,18,Long term stays allowed
119103,19,Carbon monoxide alarm
119103,20,Microwave
119103,22,Hangers
119103,28,Fire extinguisher
119103,42,Private entrance
119103,30,Free street parking
119103,31,Dishes and silverware
119103,32,Heating
119103,33,Hot water
119103,34,Smoke alarm
119103,35,Patio or balcony
119103,36,Host greets you
132120,9,Wifi
132120,18,Long term stays allowed
132120,4,Essentials
132120,49,Cable TV
132120,42,Private entrance
132120,29,Washer
132120,11,Hair dryer
132120,21,Kitchen
132120,32,Heating
132120,6,Shampoo
132120,34,Smoke alarm
132120,7,Dedicated workspace
132120,22,Hangers
132120,23,Dryer
132120,47,TV with standard cable
132160,3,Coffee maker
132160,4,Essentials
132160,78,Outdoor dining area
132160,38,Extra pillows and blankets
132160,79,Board games
132160,6,Shampoo
132160,45,Baking sheet
132160,7,Dedicated workspace
132160,8,Backyard
132160,9,Wifi
132160,80,Keypad
132160,81,Private sauna
132160,82,Room-darkening shades
132160,39,Bed linens
132160,10,First aid kit
132160,11,Hair dryer
132160,12,Cooking basics
132160,83,Clothing storage: dresser
132160,84,walk-in closet
132160,85,and closet
132160,14,Dishwasher
132160,40,TV
132160,55,Portable fans
132160,66,Outdoor furniture
132160,16,Iron
132160,70,Wine glasses
132160,17,Refrigerator
132160,19,Carbon monoxide alarm
132160,41,Air conditioning
132160,20,Microwave
132160,21,Kitchen
132160,86,Hot water kettle
132160,73,Dining table
132160,22,Hangers
132160,23,Dryer
132160,24,Stove
132160,26,Lake access
132160,74,Toaster
132160,27,Oven
132160,28,Fire extinguisher
132160,76,Cleaning products
132160,42,Private entrance
132160,29,Washer
132160,30,Free street parking
