neighbourhood_group,neighbourhood,ZipCode
Ballard,Adams,98107
Ballard,Loyal Heights,98107
Ballard,Sunset Hill,98107
Ballard,West Woodland,98107
Ballard,Whittier Heights,98107
Beacon Hill,Holly Park,98108
Beacon Hill,Mid-Beacon Hill,98108
Beacon Hill,North Beacon Hill,98108
Beacon Hill,South Beacon Hill,98108
Capitol Hill,Broadway,98102
Capitol Hill,Madison Park,98102
Capitol Hill,Montlake,98102
Capitol Hill,Portage Bay,98102
Capitol Hill,Stevens,98102
Cascade,Eastlake,98109
Cascade,South Lake Union,98109
Cascade,Westlake,98109
Central Area,Atlantic,98122
Central Area,Harrison/Denny-Blaine,98122
Central Area,Leschi,98122
Central Area,Madrona,98122
Central Area,Mann,98122
Central Area,Minor,98122
Delridge,Highland Park,98106
Delridge,High Point,98106
Delridge,North Delridge,98106
Delridge,Riverview,98106
Delridge,Roxhill,98106
Delridge,South Delridge,98106
Downtown,Belltown,98101
Downtown,Central Business District,98101
Downtown,First Hill,98101
Downtown,International District,98101
Downtown,Pike-Market,98101
Downtown,Pioneer Square,98101
Downtown,Yesler Terrace,98101
Interbay,Interbay,98119
Lake City,Cedar Park,98125
Lake City,Matthews Beach,98125
Lake City,Meadowbrook,98125
Lake City,Olympic Hills,98125
Lake City,Victory Heights,98125
Magnolia,Briarcliff,98199
Magnolia,Lawton Park,98199
Magnolia,Southeast Magnolia,98199
Northgate,Haller Lake,98125
Northgate,Maple Leaf,98125
Northgate,North College Park,98125
Northgate,Pinehurst,98125
Other neighborhoods,Bitter Lake,98107
Other neighborhoods,Broadview,98107
Other neighborhoods,Bryant,98107
Other neighborhoods,Crown Hill,98107
Other neighborhoods,Fremont,98107
Other neighborhoods,Georgetown,98107
Other neighborhoods,Green Lake,98107
Other neighborhoods,Greenwood,98107
Other neighborhoods,Harbor Island,98107
Other neighborhoods,Industrial District,98107
Other neighborhoods,Laurelhurst,98107
Other neighborhoods,North Beach/Blue Ridge,98107
Other neighborhoods,Phinney Ridge,98107
Other neighborhoods,Ravenna,98107
Other neighborhoods,Roosevelt,98107
Other neighborhoods,Sand Point,98107
Other neighborhoods,South Park,98107
Other neighborhoods,View Ridge,98107
Other neighborhoods,Wallingford,98107
Other neighborhoods,Wedgwood,98107
Other neighborhoods,Windermere,98107
Queen Anne,East Queen Anne,98119
Queen Anne,Lower Queen Anne,98119
Queen Anne,North Queen Anne,98119
Queen Anne,West Queen Anne,98119
Rainier Valley,Brighton,98118
Rainier Valley,Columbia City,98118
Rainier Valley,Dunlap,98118
Rainier Valley,Mount Baker,98118
Rainier Valley,Rainier Beach,98118
Rainier Valley,Rainier View,98118
Seward Park,Seward Park,98118
University District,University District,98105
West Seattle,Alki,98116
West Seattle,Arbor Heights,98116
West Seattle,Fairmount Park,98116
West Seattle,Fauntleroy,98116
West Seattle,Gatewood,98116
West Seattle,Genesee,98116
West Seattle,North Admiral,98116
West Seattle,Seaview,98116
